# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	2401
#@/user_id	86350857-d429-43fa-987d-7e88c3835db1
an jian 	按键	c=4 d=0.995012 t=2401
bu deng yu 	不等于	c=1 d=0.142274 t=2401
bu dui 	不对	c=1 d=1 t=1131
bu fen 	部分	c=1 d=1 t=544
bu guo 	不过	c=1 d=1 t=1016
bu hui 	不会	c=5 d=1.04175 t=2401
bu neng 	不能	c=3 d=1.44466 t=2241
bu pei 	不配	c=1 d=1 t=1274
bu shi 	不是	c=2 d=0.211189 t=2401
bu tong 	不同	c=1 d=0.162026 t=2401
bu yong 	不用	c=2 d=1.09926 t=2138
bu zhi dao 	不知道	c=1 d=1 t=1573
bu zuo 	不做	c=1 d=1 t=882
cai 	才	c=5 d=0.162838 t=2401
cai ke yi 	才可以	c=1 d=1 t=1960
cai neng 	才能	c=4 d=1.4602 t=1178
can shu 	参数	c=1 d=0.210136 t=2401
cao zuo 	操作	c=3 d=1.41452 t=1228
ce hua 	策划	c=3 d=1.01361 t=1979
ce shi 	测试	c=5 d=1.1311 t=2401
cha 	查	c=3 d=2.63916 t=1215
cha bu duo 	差不多	c=1 d=1 t=1035
cha ju 	差距	c=1 d=1 t=979
cha kan 	查看	c=3 d=1.851 t=2401
cha xun 	查询	c=1 d=1 t=2285
chai 	拆	c=0 d=0.1 t=1326
chai yi ge 	拆一个	c=1 d=1 t=1327
chang shi 	尝试	c=7 d=1.44664 t=2401
chao guo 	超过	c=2 d=1.96079 t=2116
cheng 	成	c=1 d=1 t=1777
cheng du 	程度	c=1 d=0.149569 t=2401
cheng yuan 	成员	c=2 d=1.22024 t=2401
chong 	重	c=1 d=0.179964 t=2401
chong die 	重叠	c=1 d=0.173774 t=2401
chong fu 	重复	c=3 d=0.34067 t=2401
chong she 	重设	c=1 d=1 t=1323
chong xin 	重新	c=1 d=1 t=835
chong zhi 	重置	c=11 d=1.44299 t=2274
chu 	出	c=4 d=0.965605 t=2401
chu fa 	触发	c=13 d=1.94072 t=2248
chu fei 	除非	c=1 d=1 t=2154
chu lai 	出来	c=1 d=1 t=1367
chu li 	处理	c=2 d=1.64404 t=937
chu shi 	初始	c=2 d=1.0599 t=1707
chu shi hua 	初始化	c=4 d=1.35124 t=1767
chu xian 	出现	c=15 d=0.439884 t=2401
chuan 	传	c=2 d=0.895834 t=2401
chuang 	窗	c=1 d=1 t=1405
chuang jian 	创建	c=1 d=1 t=1836
chun 	纯	c=2 d=1.00275 t=1679
ci 	次	c=1 d=1 t=1428
ci shu 	次数	c=8 d=1.2271 t=2387
ci yu 	词语	c=3 d=0.494739 t=2401
cong 	从	c=5 d=1.14111 t=2401
cun zai 	存在	c=2 d=1.70869 t=2401
cuo 	错	c=2 d=1.21225 t=1539
cuo wu 	错误	c=4 d=1.44149 t=2401
da 	大	c=1 d=1 t=981
da lei 	打雷	c=1 d=1 t=1344
da suan 	打算	c=1 d=1 t=1326
da yu 	大于	c=3 d=2.47688 t=756
dai 	带	c=2 d=0.818731 t=2401
dai ma 	代码	c=1 d=0.199888 t=2401
dan du 	单独	c=1 d=1 t=2366
dan shi 	但是	c=10 d=2.60941 t=2230
dang chu 	当初	c=1 d=1 t=2087
dang qian 	当前	c=5 d=0.278037 t=2401
dao 	到	c=16 d=1.58077 t=2401
dao chu 	导出	c=1 d=1 t=472
dao da 	到达	c=2 d=1.94649 t=1879
dao ji shi 	倒计时	c=2 d=1.97531 t=787
dao xu 	倒序	c=1 d=1 t=2106
dao zhi 	导致	c=1 d=1 t=997
de 	的	c=154 d=12.2449 t=2401
dei 	得	c=1 d=1 t=433
deng 	等	c=1 d=1 t=1545
deng ji 	等级	c=3 d=2.22426 t=978
deng yu 	等于	c=2 d=0.398519 t=2401
di 	第	c=3 d=1.67965 t=1514
di er 	第二	c=1 d=0.208045 t=2401
di yi 	第一	c=1 d=0.185444 t=2401
di yi ge 	第一个	c=1 d=0.154124 t=2401
di yi hang 	第一行	c=1 d=1 t=1492
dian 	点	c=1 d=1 t=2309
dian zan 	点赞	c=3 d=1.56402 t=2401
diao 	掉	c=3 d=0.276651 t=2401
diao yong 	调用	c=4 d=0.457649 t=2401
dong hua 	动画	c=1 d=1 t=1716
dou 	都	c=7 d=1.3558 t=2401
dou hui 	都会	c=2 d=1.0542 t=1527
dou ke yi 	都可以	c=1 d=0.744532 t=2401
dou neng 	都能	c=2 d=1.04905 t=2221
dou shi 	都是	c=4 d=0.522046 t=2401
du qu 	读取	c=2 d=0.145148 t=2401
duan 	端	c=1 d=1 t=2003
dui 	对	c=9 d=1.08425 t=2275
dui jie 	对接	c=1 d=1 t=2265
dui xiang 	对象	c=1 d=1 t=1884
dui ying 	对应	c=4 d=0.287941 t=2401
duo 	多	c=1 d=1 t=1176
e wai 	额外	c=1 d=1 t=2139
er qi 	二期	c=5 d=1.00125 t=2267
er qie 	而且	c=1 d=1 t=1977
fa 	发	c=2 d=1.07353 t=2185
fa 	法	c=1 d=1 t=406
fa bu 	发布	c=3 d=1.00372 t=2186
fa chu 	发出	c=1 d=1 t=606
fa sheng 	发生	c=1 d=1 t=481
fa song 	发送	c=2 d=0.283654 t=2401
fa wo 	发我	c=1 d=1 t=1997
fa xian 	发现	c=4 d=1.00042 t=2344
fan bei 	翻倍	c=3 d=2.98506 t=1457
fan chu 	翻出	c=1 d=1 t=1141
fan hui 	返回	c=1 d=1 t=1006
fan ti 	繁体	c=2 d=0.326574 t=2401
fan wei 	范围	c=1 d=1 t=511
fan ye 	翻页	c=1 d=1 t=748
fang 	放	c=6 d=1.40748 t=2353
fang an 	方案	c=3 d=1.00236 t=2256
fang dao 	放到	c=2 d=1.00278 t=1623
fang qi 	放弃	c=2 d=1.97045 t=2246
fang zai 	放在	c=1 d=1 t=1927
fang zhi 	放置	c=4 d=1.65372 t=2242
fen pei 	分配	c=14 d=8.56234 t=2253
fen zhi 	分支	c=1 d=0.373439 t=2401
feng zhuang 	封装	c=1 d=1 t=1039
fu 	服	c=1 d=1 t=1079
fu dian 	浮点	c=2 d=1.96079 t=1653
fu fei 	付费	c=1 d=1 t=985
fu hao 	符号	c=15 d=3.22004 t=2392
fu jia 	附加	c=1 d=1 t=2295
fu wu 	服务	c=1 d=1 t=1005
fu yong 	复用	c=2 d=0.516867 t=2401
fu zhi 	赋值	c=1 d=1 t=2378
gai 	改	c=14 d=1.05359 t=2401
gai 	该	c=16 d=0.302704 t=2401
gai cheng 	改成	c=1 d=1 t=578
gai hang 	改行	c=1 d=1 t=1532
gai lv 	概率	c=1 d=1 t=1718
gai wei 	改为	c=2 d=0.951229 t=2401
gan jue 	感觉	c=3 d=1.00994 t=2098
gan sha 	干啥	c=1 d=1 t=1830
gang 	刚	c=2 d=1.75957 t=2088
gao 	搞	c=1 d=1 t=2368
gao 	高	c=1 d=1 t=1167
ge 	个	c=7 d=0.302065 t=2401
ge 	哥	c=2 d=1.34301 t=1206
ge ren 	个人	c=2 d=0.241714 t=2401
ge shi 	格式	c=6 d=0.543351 t=2401
gei 	给	c=12 d=1.58648 t=2401
gei chu 	给出	c=1 d=0.23457 t=2401
gei ni 	给你	c=1 d=1 t=2371
gen ju 	根据	c=1 d=1 t=1902
geng duo 	更多	c=1 d=1 t=1180
geng xin 	更新	c=7 d=1.64878 t=2318
gong ju 	工具	c=3 d=1.04331 t=1576
gong xiang 	共享	c=1 d=1 t=520
gou jian 	构建	c=1 d=1 t=2140
gou mai 	购买	c=4 d=1.00099 t=2199
gu ding 	固定	c=2 d=1.41271 t=1296
gu yi 	故意	c=1 d=1 t=947
guan bi 	关闭	c=2 d=1.85214 t=833
guan lian 	关联	c=1 d=0.790571 t=2401
guan xi 	关系	c=1 d=1 t=2014
gui ding 	规定	c=1 d=1 t=1647
gun 	滚	c=1 d=1 t=1365
guo 	国	c=1 d=1 t=1632
guo 	过	c=1 d=1 t=954
guo lai 	过来	c=1 d=1 t=1221
guo qi 	过期	c=6 d=2.63716 t=807
guo qu 	过去	c=1 d=1 t=673
guo yi duan 	过一段	c=1 d=1 t=940
hai 	还	c=2 d=1.52466 t=2231
hai mei 	还没	c=3 d=1.01204 t=2019
hai shi 	还是	c=1 d=1 t=1354
hai xiang 	还想	c=1 d=1 t=2090
hai yao 	还要	c=2 d=1.15645 t=2038
hai you 	还有	c=4 d=0.73911 t=2401
hai zai 	还在	c=2 d=1.03858 t=1111
han shu 	函数	c=1 d=0.19593 t=2401
hang 	行	c=22 d=1.87807 t=2401
hang shu 	行数	c=1 d=0.433874 t=2401
hao 	号	c=1 d=1 t=1267
hao 	好	c=3 d=1.12613 t=1353
hao de 	好的	c=3 d=0.909373 t=2401
hao le 	好了	c=2 d=1.25666 t=1339
he 	和	c=18 d=2.59531 t=2401
he bing 	合并	c=4 d=1.39042 t=2401
hen 	很	c=1 d=1 t=2105
hen duo 	很多	c=1 d=1 t=656
hong bao 	红包	c=11 d=3.10362 t=2401
hou 	后	c=1 d=1 t=1530
hou duan 	后端	c=1 d=1 t=2011
hou tai 	后台	c=4 d=0.932394 t=2401
hou zhui 	后缀	c=1 d=0.14808 t=2401
huan 	换	c=1 d=1 t=2195
huan cun 	缓存	c=2 d=1.69768 t=903
huan jing 	环境	c=1 d=1 t=881
hui 	会	c=12 d=1.07415 t=2401
hui zhang 	会长	c=1 d=1 t=1165
hui zhi 	绘制	c=1 d=1 t=489
huo de 	获得	c=4 d=1.15787 t=2124
huo dong 	活动	c=1 d=1 t=430
huo hu 	火狐	c=1 d=1 t=802
ji 	机	c=2 d=1.99005 t=800
ji 	集	c=1 d=1 t=724
ji de 	记得	c=1 d=1 t=2326
ji ge 	几个	c=2 d=1.00177 t=2308
ji huo 	激活	c=1 d=1 t=783
ji ke 	即可	c=1 d=1 t=837
ji qi 	集齐	c=1 d=1 t=1529
ji suan 	计算	c=1 d=1 t=2069
ji tai 	机台	c=15 d=3.14644 t=2401
ji zhi 	机制	c=1 d=1 t=2042
ji zhu 	记住	c=1 d=1 t=803
jia 	假	c=2 d=1.65705 t=1444
jia 	加	c=10 d=2.78008 t=2401
jia hao 	加好	c=1 d=1 t=2197
jia ru 	加入	c=2 d=1.96079 t=1249
jia yi 	加一	c=0 d=0.1 t=2326
jia yi xia 	加一下	c=1 d=1 t=2327
jia zai 	加载	c=2 d=1.88692 t=1095
jian 	减	c=2 d=0.275271 t=2401
jian 	建	c=1 d=1 t=664
jian cha 	检查	c=4 d=1.00262 t=2212
jian hui 	建辉	c=7 d=2.77606 t=2282
jian qu 	减去	c=1 d=1 t=1138
jian ti 	简体	c=3 d=0.475695 t=2401
jiang 	奖	c=8 d=1.21171 t=2384
jiang li 	奖励	c=8 d=2.35977 t=2319
jiao ben 	脚本	c=1 d=0.174645 t=2401
jiao dui 	校对	c=1 d=1 t=2261
jiao huan 	交换	c=6 d=1.70418 t=2401
jiao yan 	校验	c=11 d=4.41079 t=2401
jie dian 	节点	c=1 d=1 t=1263
jie kou 	接口	c=10 d=2.32179 t=2299
jie suo 	解锁	c=17 d=7.87406 t=1959
jin 	仅	c=4 d=1.7958 t=2401
jin bi 	金币	c=4 d=2.28223 t=1616
jin du 	进度	c=2 d=1.95123 t=526
jin lai 	进来	c=1 d=0.360595 t=2401
jin ru 	进入	c=2 d=1.29969 t=1398
jin xing 	进行	c=3 d=1.01378 t=2304
jing chang 	经常	c=3 d=1.97084 t=2008
jiu 	就	c=8 d=0.52887 t=2401
jiu 	旧	c=1 d=0.316637 t=2401
jiu ban 	旧版	c=1 d=1 t=638
jiu de 	就得	c=1 d=1 t=1285
jiu neng 	就能	c=1 d=1 t=1107
jiu shi 	就是	c=10 d=1.11501 t=2401
jiu xing 	就行	c=2 d=1.00477 t=2380
jiu zai 	就在	c=1 d=1 t=1685
ju 	据	c=0 d=0.1 t=541
ju kong bu 	据恐怖	c=1 d=1 t=542
ju le bu 	俱乐部	c=14 d=1.63972 t=2401
ju li 	距离	c=1 d=1 t=2099
ka 	卡	c=4 d=1.39056 t=1742
ka pai 	卡牌	c=29 d=4.25607 t=2401
ka zu 	卡组	c=3 d=0.594521 t=2401
kai fa 	开发	c=1 d=1 t=1078
kai hui 	开会	c=2 d=1.11248 t=1988
kai qi 	开启	c=1 d=1 t=510
kai shi 	开始	c=9 d=1.38168 t=2401
kai tou 	开头	c=1 d=1 t=580
kan 	看	c=8 d=3.88612 t=1313
kan dao 	看到	c=2 d=1.02014 t=1983
kan kan 	看看	c=1 d=1 t=1224
kao bei 	拷贝	c=2 d=1.94176 t=684
kao lv 	考虑	c=1 d=1 t=648
ke hu 	客户	c=1 d=1 t=2002
ke hu duan 	客户端	c=2 d=1.0542 t=1441
ke neng 	可能	c=2 d=1.27328 t=2401
ke yi 	可以	c=18 d=3.88118 t=2401
kong bai 	空白	c=3 d=2.15253 t=2146
kong bu 	恐怖	c=0 d=0.1 t=541
kong ge 	空格	c=1 d=0.182684 t=2401
kong zhi 	控制	c=1 d=1 t=2058
kong zhi tai 	控制台	c=1 d=1 t=2067
ku 	哭	c=1 d=0.187308 t=2401
ku 	库	c=3 d=2.44998 t=1050
kuo zhan 	扩展	c=2 d=1.43387 t=2328
lai 	来	c=1 d=1 t=2272
lai shuo 	来说	c=2 d=0.392586 t=2401
le 	了	c=61 d=5.80382 t=2401
lei si 	类似	c=1 d=1 t=1014
lei xing 	类型	c=3 d=0.625002 t=2401
li 	里	c=41 d=5.53467 t=2401
li bao 	礼包	c=2 d=1.6942 t=1063
li mian 	里面	c=1 d=1 t=1930
li shi 	历史	c=1 d=1 t=2287
li zi 	例子	c=1 d=0.235746 t=2401
lian jie 	连接	c=2 d=0.359057 t=2401
lian xu 	连续	c=1 d=1 t=2152
liang 	两	c=1 d=1 t=1104
liang ge 	两个	c=4 d=1.09674 t=2220
liang zhang 	两张	c=2 d=1.92312 t=620
liang zhong 	两种	c=1 d=1 t=2323
lie 	列	c=1 d=1 t=1609
lie biao 	列表	c=2 d=0.818755 t=2401
ling qu 	领取	c=5 d=0.695953 t=2401
liu 	流	c=1 d=0.143704 t=2401
liu 	留	c=1 d=1 t=1885
liu lan qi 	浏览器	c=1 d=1 t=2160
liu liang 	流量	c=1 d=1 t=883
lu jing 	路径	c=1 d=1 t=910
lun zi 	轮子	c=13 d=2.69051 t=2147
luo ji 	逻辑	c=3 d=0.519442 t=2401
ma 	吗	c=4 d=0.214381 t=2401
mao si 	貌似	c=1 d=0.449329 t=2401
mei 	每	c=5 d=0.369738 t=2401
mei 	没	c=5 d=1.30167 t=2190
mei 	美	c=1 d=1 t=1633
mei ci 	每次	c=1 d=1 t=1602
mei ge 	每个	c=2 d=1.03159 t=1740
mei ju 	枚举	c=1 d=0.960789 t=2401
mei sha 	没啥	c=1 d=1 t=2013
mei shi 	没事	c=1 d=1 t=1232
mei wen ti 	没问题	c=1 d=1 t=1310
mei you 	没有	c=23 d=1.34077 t=2401
mi ma 	密码	c=1 d=1 t=804
mian 	面	c=1 d=0.204948 t=2401
miao shu 	描述	c=1 d=1 t=772
ming cheng 	名称	c=1 d=1 t=1122
ming ling 	命令	c=1 d=1 t=1052
ming que 	明确	c=1 d=0.737123 t=2401
ming zhong 	命中	c=2 d=1.99501 t=1330
mo ban 	模版	c=2 d=1.21654 t=847
mo ni 	模拟	c=3 d=0.427189 t=2401
mo ren 	默认	c=4 d=1.30487 t=1579
mu 	木	c=1 d=1 t=1109
mu lu 	目录	c=3 d=1.62004 t=912
na 	拿	c=1 d=1 t=1209
na 	那	c=11 d=1.50828 t=2354
na bian 	那边	c=2 d=1.00333 t=2170
na ge 	哪个	c=1 d=1 t=1569
na ge 	那个	c=1 d=1 t=1342
na xie 	哪些	c=2 d=1.9802 t=1849
ne 	呢	c=1 d=1 t=1137
nei 	内	c=1 d=1 t=512
nei bu 	内部	c=1 d=0.332871 t=2401
nei qian 	内嵌	c=1 d=1 t=2091
nei rong 	内容	c=3 d=1.01483 t=1466
neng 	能	c=2 d=1.00036 t=2100
ni 	你	c=9 d=1.05676 t=2331
pai 	牌	c=3 d=0.282239 t=2401
pai chu 	排除	c=1 d=1 t=1949
pai xu 	排序	c=1 d=1 t=1193
pan ding 	判定	c=1 d=1 t=468
pan duan 	判断	c=4 d=1.41856 t=1844
pao lu 	跑路	c=1 d=1 t=1634
pei fu 	赔付	c=2 d=1.70117 t=1913
pei he 	配合	c=1 d=0.217621 t=2401
pei zhi 	配置	c=50 d=5.14586 t=2401
pin yin 	拼音	c=1 d=1 t=1403
ping chang 	平常	c=1 d=0.142987 t=2401
ping shen 	评审	c=2 d=1.0002 t=2257
ping tai 	平台	c=2 d=0.412714 t=2401
qi 	器	c=1 d=0.802519 t=2401
qi 	齐	c=1 d=1 t=725
qi lai 	起来	c=1 d=1 t=586
qi pan 	棋盘	c=1 d=1 t=1475
qi ta 	其它	c=1 d=1 t=1025
qian 	前	c=4 d=0.633148 t=2401
qian duan 	前端	c=1 d=1 t=2264
qiang du 	强度	c=1 d=1 t=1168
qiang zhi 	强制	c=4 d=1.00314 t=2234
qie 	且	c=4 d=2.81097 t=975
qie huan 	切换	c=7 d=0.980199 t=2401
qing 	请	c=2 d=0.324652 t=2401
qing kong 	清空	c=1 d=1 t=902
qing kuang 	情况	c=4 d=0.413403 t=2401
qing li 	清理	c=1 d=0.313486 t=2401
qing qiu 	请求	c=4 d=3.91173 t=465
qu 	去	c=10 d=1.79114 t=2401
qu chong 	去重	c=1 d=0.180866 t=2401
quan bu 	全部	c=4 d=0.51462 t=2401
quan zhong 	权重	c=2 d=1.01078 t=2227
que 	却	c=1 d=1 t=560
que ren 	确认	c=1 d=1 t=436
que shao 	缺少	c=1 d=1 t=1630
que shi 	却是	c=2 d=1.0293 t=1204
ran hou 	然后	c=3 d=1.02263 t=2094
rang 	让	c=3 d=1.96407 t=2001
ren 	人	c=3 d=2.35094 t=1257
ren he 	任何	c=1 d=1 t=886
ren wei 	认为	c=1 d=1 t=921
ren wu 	任务	c=5 d=2.53655 t=2324
ren yi 	任意	c=1 d=1 t=1947
ru guo 	如果	c=5 d=0.330407 t=2401
ru he 	如何	c=6 d=1.06453 t=2401
ru kou 	入口	c=1 d=1 t=987
san 	三	c=1 d=1 t=1105
san ge 	三个	c=2 d=0.621885 t=2401
san tian 	三天	c=1 d=1 t=1200
sao miao 	扫描	c=1 d=1 t=1962
se 	色	c=1 d=1 t=501
shan 	删	c=1 d=1 t=2075
shan chu 	删除	c=2 d=1.12938 t=808
shang 	上	c=9 d=2.23211 t=2401
shang ci 	上次	c=1 d=1 t=1084
shang pin 	商品	c=2 d=1.90484 t=2201
shang qu 	上去	c=1 d=1 t=2024
shang xian 	上线	c=1 d=1 t=901
shang xian 	上限	c=2 d=1.00638 t=1761
she zhi 	设置	c=7 d=1 t=2401
shen me 	什么	c=1 d=1 t=1261
shen qing 	申请	c=1 d=1 t=1875
sheng 	省	c=1 d=1 t=1045
sheng cheng 	生成	c=9 d=3.01838 t=2151
sheng ji 	升级	c=2 d=1.92312 t=431
sheng ming 	声明	c=1 d=1 t=1889
sheng xia 	剩下	c=3 d=1.03852 t=1933
sheng xiao 	生效	c=1 d=1 t=394
sheng yu 	剩余	c=3 d=1.8279 t=1841
shi 	事	c=1 d=1 t=887
shi 	式	c=1 d=0.144424 t=2401
shi 	时	c=6 d=2.97059 t=1871
shi 	是	c=45 d=2.91957 t=2401
shi 	试	c=1 d=0.548812 t=2401
shi bu shi 	是不是	c=1 d=1 t=1226
shi fou 	是否	c=10 d=0.9424 t=2401
shi hou 	时候	c=2 d=1.92774 t=1253
shi ji 	实际	c=2 d=0.346456 t=2401
shi jian 	事件	c=3 d=1.03217 t=1246
shi jian 	时间	c=8 d=1.65602 t=1262
shi li 	示例	c=4 d=0.799954 t=2401
shi pei 	适配	c=2 d=1.91393 t=589
shi xian 	实现	c=2 d=1.10076 t=2086
shi yong 	使用	c=6 d=1.84696 t=2401
shou cang 	收藏	c=1 d=1 t=973
shou dong 	手动	c=5 d=0.955997 t=2401
shu 	数	c=4 d=1.75616 t=1729
shu chu 	输出	c=1 d=1 t=2065
shu ju 	数据	c=7 d=1.83515 t=2401
shu liang 	数量	c=3 d=1.61027 t=1739
shu ru 	输入	c=1 d=1 t=405
shu shu 	数数	c=1 d=1 t=1227
shu zhi 	数值	c=21 d=3.56241 t=2337
shua 	刷	c=1 d=1 t=1255
shun xu 	顺序	c=3 d=1.0561 t=1801
shuo 	说	c=2 d=1.0118 t=1566
shuo dao 	说到	c=1 d=1 t=2341
shuo ming 	说明	c=4 d=0.246597 t=2401
si 	四	c=1 d=0.141564 t=2401
si ye cao 	四叶草	c=1 d=0.166127 t=2401
song 	送	c=1 d=0.265803 t=2401
song chu 	送出	c=1 d=0.640824 t=2401
suan 	算	c=2 d=1.00583 t=1682
sui ji 	随机	c=3 d=1.09587 t=2291
suo yao 	索要	c=4 d=1.20823 t=2401
suo you 	所有	c=3 d=1.21353 t=1963
tai 	太	c=1 d=0.315058 t=2401
tai duo 	太多	c=1 d=0.511709 t=2401
tai gao 	太高	c=1 d=1 t=563
tai ka 	太卡	c=1 d=0.946485 t=2401
tai shao 	太少	c=2 d=1.99005 t=601
tan 	弹	c=1 d=1 t=1404
tan chuang 	弹窗	c=2 d=1.01083 t=2311
te bie 	特别	c=1 d=0.537944 t=2401
te ding 	特定	c=1 d=1 t=1974
te shu 	特殊	c=1 d=1 t=936
ti 	踢	c=1 d=1 t=1173
ti gong 	提供	c=2 d=1.05156 t=1577
ti huan 	替换	c=2 d=1.31982 t=1784
ti jiao 	提交	c=1 d=1 t=915
ti ren 	踢人	c=2 d=1.90937 t=1188
ti sheng 	提升	c=1 d=1 t=1472
tian 	天	c=3 d=1.11471 t=1550
tian jia 	添加	c=1 d=1 t=2290
tian xia 	天下	c=1 d=0.18452 t=2401
tiao 	调	c=1 d=1 t=1352
tiao ban 	跳板	c=2 d=1.99005 t=799
tiao shi 	调试	c=2 d=1.24561 t=2401
tong guo 	通过	c=1 d=1 t=1375
tong pei 	统配	c=1 d=1 t=1735
tong shi 	同时	c=3 d=2.57388 t=2401
tong yong 	通用	c=2 d=1.21981 t=1596
tu pian 	图片	c=2 d=0.249075 t=2401
tui chi 	推迟	c=1 d=1 t=1158
tui chu 	退出	c=1 d=1 t=1159
wai bu 	外部	c=1 d=1 t=412
wan 	完	c=2 d=1.45158 t=2229
wan 	玩	c=1 d=1 t=966
wan cheng 	完成	c=4 d=1.09783 t=2401
wan fa 	玩法	c=2 d=0.516851 t=2401
wan zheng 	完整	c=1 d=0.423162 t=2401
wei 	为	c=17 d=0.868642 t=2401
wei 	微	c=1 d=1 t=1004
wei 	未	c=1 d=1 t=588
wei hu 	维护	c=1 d=0.242926 t=2401
wei sha 	为啥	c=1 d=1 t=1194
wei zhi 	位置	c=4 d=1.68171 t=2238
wen 	文	c=1 d=1 t=1549
wen 	问	c=1 d=1 t=1592
wen dang 	文档	c=3 d=0.250324 t=2401
wen jian 	文件	c=2 d=0.145876 t=2401
wen ti 	问题	c=3 d=1.00328 t=2007
wen tian 	文天	c=1 d=1 t=1565
wo 	我	c=40 d=4.846 t=2401
wo zai 	我在	c=1 d=1 t=1978
wu xiao 	无效	c=1 d=0.45612 t=2401
xi pai 	洗牌	c=1 d=1 t=2278
xia 	下	c=10 d=2.19908 t=2401
xia biao 	下标	c=2 d=0.839169 t=2401
xia fa 	下发	c=2 d=1.03526 t=1409
xia yi ci 	下一次	c=1 d=1 t=1958
xia zai 	下载	c=1 d=1 t=640
xia zhou 	下周	c=1 d=1 t=506
xian 	先	c=8 d=2.78742 t=2204
xian 	现	c=1 d=1 t=1509
xian 	线	c=8 d=1.21171 t=2383
xian cheng 	现成	c=1 d=1 t=2376
xian ding 	限定	c=1 d=1 t=956
xian shi 	显示	c=1 d=1 t=2320
xian zai 	现在	c=3 d=1.46227 t=2182
xian zhi 	限制	c=3 d=1.42023 t=2110
xiang tong 	相同	c=6 d=0.320769 t=2401
xiao 	小	c=1 d=1 t=1521
xiao 	笑	c=1 d=0.186374 t=2401
xiao guo 	效果	c=5 d=3.46637 t=1504
xiao shi 	消失	c=2 d=1.01139 t=1470
xiao xi 	消息	c=11 d=2.34382 t=2401
xie 	写	c=1 d=1 t=698
xie hao 	写好	c=1 d=1 t=2301
xie ru 	写入	c=2 d=0.320891 t=2401
xie wan 	写完	c=1 d=1 t=2034
xie yi 	协议	c=1 d=1 t=2095
xie zai 	写在	c=1 d=1 t=2336
xin 	新	c=5 d=0.687289 t=2401
xin ban 	新版	c=3 d=0.658665 t=2401
xin xi 	信息	c=3 d=1.34337 t=2401
xin zeng 	新增	c=1 d=1 t=703
xing 	性	c=1 d=1 t=2292
xing neng 	性能	c=1 d=1 t=2398
xiu 	修	c=1 d=0.763379 t=2401
xiu fu 	修复	c=2 d=1.9802 t=1268
xiu gai 	修改	c=1 d=1 t=395
xu qiu 	需求	c=1 d=1 t=553
xu yao 	需要	c=7 d=1.2159 t=2365
xuan 	选	c=1 d=1 t=1780
xuan ze 	选择	c=3 d=2.74962 t=1450
xuan zhong 	选中	c=2 d=1.75578 t=1797
xun lian 	训练	c=1 d=0.190139 t=2401
ya 	呀	c=1 d=1 t=1172
yao bu 	要不	c=1 d=1 t=1220
yao me 	要么	c=1 d=0.394554 t=2401
yao you 	要有	c=1 d=1 t=603
ye 	也	c=5 d=1.86464 t=2245
ye 	页	c=1 d=1 t=754
ye hai 	也还	c=0 d=0.1 t=2042
ye hai mei 	也还没	c=1 d=1 t=2043
ye hui 	也会	c=1 d=1 t=644
ye you 	也有	c=1 d=1 t=1982
yi 	一	c=4 d=2.69032 t=2141
yi 	已	c=6 d=1.2961 t=2401
yi ban 	一般	c=3 d=0.390628 t=2401
yi ci 	一次	c=4 d=0.542169 t=2401
yi dang 	一档	c=1 d=1 t=1473
